"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039037400","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"2","GB106039037400","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"3","GB106039037400","Agriculture and rural land management","Suspected","Agriculture - Arable","Poor nutrient management","Suspected"
"4","GB106039037400","Water Industry","Suspected","Not applicable","Sewage discharge (continuous)","Suspected"
"5","GB106039037400","Water Industry","Suspected","Not applicable","Sewage discharge (continuous)","Suspected"
